SMILES,logSolubility,inchi_key
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,XUCIJNAGGSZNQT-UHFFFAOYSA-N
Cc1occc1C(=O)Nc1ccccc1,-3.3,JFSPBVWPKOEZCB-UHFFFAOYSA-N
CC(C)=CCCC(C)=CC=O,-2.06,WTEVQBCEXWBHNA-UHFFFAOYSA-N
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,GBROPGWFBFCKAG-UHFFFAOYSA-N
c1ccsc1,-1.33,YTPLMLYBLZKORZ-UHFFFAOYSA-N
c1ccc2scnc2c1,-1.5,IOJUPLGTWVMSFF-UHFFFAOYSA-N
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,MTCPZNVSDFCBBE-UHFFFAOYSA-N
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,VOXZDWNPVJITMN-UHFFFAOYSA-N
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,DFBKLUNHFCTMDC-UHFFFAOYSA-N
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,JUVIOZPCNVVQFO-UHFFFAOYSA-N
O=C1CCCN1,1.07,HNJBEVLQSNELDL-UHFFFAOYSA-N
Clc1ccc2ccccc2c1,-4.14,CGYGETOMCSJHJU-UHFFFAOYSA-N
C=CCCC,-2.68,YWAKXRMUMFPDSH-UHFFFAOYSA-N
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,DQMZLTXERSFNPB-UHFFFAOYSA-N
CCCCCCCCCCCCCC,-7.96,BGHCVCJVXZWKCC-UHFFFAOYSA-N
CCC(C)CO,-0.47,QPRQEDXDYOZYLA-UHFFFAOYSA-N
N#Cc1ccccc1,-1.0,JFDZBHWFFUWGJE-UHFFFAOYSA-N
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,FHIVAFMUCKRCQO-UHFFFAOYSA-N
CCCCCCCCCC(C)O,-2.94,XMUJIPOFTAHSOK-UHFFFAOYSA-N
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,CXKIGWXPPVZSQK-UHFFFAOYSA-N
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.594,ZTMKADLOSYKWCA-UHFFFAOYSA-N
CCOP(=S)(OCC)SCSCC,-4.11,BULVZWIRKLYCBC-UHFFFAOYSA-N
CCOc1ccc(NC(C)=O)cc1,-2.35,CPJSUEIXXCENMM-UHFFFAOYSA-N
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,OFDYMSKSGFSLLM-UHFFFAOYSA-N
CCCCCCCO,-1.81,BBMCTIGTTCKYKF-UHFFFAOYSA-N
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,STDBAQMTJLUMFW-UHFFFAOYSA-N
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,UCNVFOCBFJOQAL-UHFFFAOYSA-N
CCCCCCCC(=O)OC,-3.17,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
CCc1ccc(CC)cc1,-3.75,DSNHSQKRULAAEI-UHFFFAOYSA-N
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,XLNZEKHULJKQBA-UHFFFAOYSA-N
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,IDOWTHOLJBTAFI-UHFFFAOYSA-N
Cc1cccc2c1Cc1ccccc1-2,-5.22,GKEUODMJRFDLJY-UHFFFAOYSA-N
CCCCC=O,-0.85,HGBOYTHUEUWSSQ-UHFFFAOYSA-N
c1ccc(Nc2ccccc2)cc1,-3.504,DMBHHRLKUKUOEG-UHFFFAOYSA-N
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,HMIBKHHNXANVHR-UHFFFAOYSA-N
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,UNLYSVIDNRIVFJ-UHFFFAOYSA-N
CCCCCCCI,-4.81,LMHCYRULPLGEEZ-UHFFFAOYSA-N
Clc1cccc(-c2ccccc2)c1,-4.88,NMWSKOLWZZWHPL-UHFFFAOYSA-N
C=CCCCO,-0.15,LQAVWYMTUMSFBE-UHFFFAOYSA-N
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,VQDXQNNYGSEHPU-UHFFFAOYSA-N
CC1CCC(C(C)C)C(O)C1,-2.53,NOOLISFMXDJSKH-UHFFFAOYSA-N
CC(C)OC=O,-0.63,RMOUBSOVHSONPZ-UHFFFAOYSA-N
CCCCCC(C)O,-1.55,CETWDUZRCINIHU-UHFFFAOYSA-N
CC(=O)Nc1ccc(Br)cc1,-3.083,MSLICLMCQYQNPK-UHFFFAOYSA-N
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,ODNZLRLWXRXPOH-UHFFFAOYSA-N
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,HYIMSNHJOBLJNT-UHFFFAOYSA-N
Cc1ccc2ccc(C)nc2c1,-1.94,QXKPLNCZSFACPU-UHFFFAOYSA-N
C#CCCCCCC,-3.66,UMIPWJGWASORKV-UHFFFAOYSA-N
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,WTYGAUXICFETTC-UHFFFAOYSA-N
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,WDECIBYCCFPHNR-UHFFFAOYSA-N
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,CTSLUCNDVMMDHG-UHFFFAOYSA-N
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,RVWLHPJFOKUPNM-UHFFFAOYSA-N
Cc1ccccc1O,-0.62,QWVGKYWNOKOFNN-UHFFFAOYSA-N
CC(C)CCC(C)(C)C,-5.05,HHOSMYBYIHNXNO-UHFFFAOYSA-N
Cc1ccc(C)c2ccccc12,-4.14,APQSQLNWAIULLK-UHFFFAOYSA-N
Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,ASVDRLYVNFOSCI-UHFFFAOYSA-N
CCCC(C)=O,-0.19,XNLICIUVMPYHGG-UHFFFAOYSA-N
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,JPOPEORRMSDUIP-UHFFFAOYSA-N
CCCOC(=O)CC,-0.82,MCSINKKTEDDPNK-UHFFFAOYSA-N
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,GFNANZIMVAIWHM-UHFFFAOYSA-N
Nc1ccc(O)cc1,-0.8,PLIKAWJENQZMHA-UHFFFAOYSA-N
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,CULUWZNBISUWAS-UHFFFAOYSA-N
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,KUCQYCKVKVOKAY-UHFFFAOYSA-N
CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,HFBWPRKWDIRYNX-UHFFFAOYSA-N
NC(=O)c1cnccn1,-0.667,IPEHBUMCGVEMRF-UHFFFAOYSA-N
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,OPNPQXLQERQBBV-UHFFFAOYSA-N
Clc1ccccc1-c1ccccc1Cl,-5.27,JAYCNKDKIKZTAF-UHFFFAOYSA-N
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,NXFQHRVNIOXGAQ-UHFFFAOYSA-N
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,XITQUSLLOSKDTB-UHFFFAOYSA-N
CC12CCC(CC1=O)C2(C)C,-1.96,DSSYKIVIOFKYAU-UHFFFAOYSA-N
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,WOIGZSBYKGQJGL-UHFFFAOYSA-N
CCCCC(=O)OCC,-2.25,ICMAFTSLXCXHRK-UHFFFAOYSA-N
CC(=O)OCCC(C)C,-1.92,MLFHJEHSLIIPHL-UHFFFAOYSA-N
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,OLWXRKNZPGNRLT-UHFFFAOYSA-N
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,ONNCPBRWFSKDMQ-UHFFFAOYSA-N
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.493,STJLVHWMYQXCPB-UHFFFAOYSA-N
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,AIKKULXCBHRFOS-UHFFFAOYSA-N
Cc1ncnc2nccnc12,-0.466,WESDBLALURHRDL-UHFFFAOYSA-N
Cc1ccc(C)cc1,-2.77,URLKBWYHVLBVBO-UHFFFAOYSA-N
CCc1ccccc1CC,-3.28,KVNYFPKFSJIPBJ-UHFFFAOYSA-N
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,VHHHONWQHHHLTI-UHFFFAOYSA-N
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,GBIHOLCMZGAKNG-UHFFFAOYSA-N
CCC[N+](=O)[O-],-0.8,JSZOAYXJRCEYSX-UHFFFAOYSA-N
CC1CCC(C(C)C)C(=O)C1,-2.35,NFLGAXVYCFJBMK-UHFFFAOYSA-N
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,ZSFUDSWIVAQKEN-UHFFFAOYSA-N
O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,CMVQZRLQEOAYSW-UHFFFAOYSA-N
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,XLOMZPUITCYLMJ-UHFFFAOYSA-N
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,GVEPBJHOBDJJJI-UHFFFAOYSA-N
CCCOC(C)C,-1.34,JIEJJGMNDWIGBJ-UHFFFAOYSA-N
Cc1cc(C)c2ccccc2c1,-4.29,QHJMFSMPSZREIF-UHFFFAOYSA-N
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,RGLYKWWBQGJZGM-UHFFFAOYSA-N
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,CRQQGFGUEAVUIL-UHFFFAOYSA-N
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,KENZYIHFBRWMOD-UHFFFAOYSA-N
c1ccc(C2CO2)cc1,-1.6,AWMVMTVKBNGEAK-UHFFFAOYSA-N
CC(C)c1ccccc1,-3.27,RWGFKTVRMDUZSP-UHFFFAOYSA-N
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,ZESRJSPZRDMNHY-UHFFFAOYSA-N
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,NHTGQOXRZFUGJX-UHFFFAOYSA-N
OC1COC(O)C(O)C1O,0.39,SRBFZHDQGSBBOR-UHFFFAOYSA-N
CCc1cccc2ccccc12,-4.17,ZMXIYERNXPIYFR-UHFFFAOYSA-N
O=[N+]([O-])c1ccccc1O,-1.74,IQUPABOKLQSFBK-UHFFFAOYSA-N
Cc1c[nH]c(=O)[nH]c1=O,-1.506,RWQNBRDOKXIBIV-UHFFFAOYSA-N
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,UGQMRVRMYYASKQ-UHFFFAOYSA-N
N#Cc1cc(I)c(O)c(I)c1,-3.61,NRXQIUSYPAHGNM-UHFFFAOYSA-N
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,RJMUSRYZPJIFPJ-UHFFFAOYSA-N
CCCCC,-3.18,OFBQJSOFQDEBGM-UHFFFAOYSA-N
Oc1ccccc1,0.0,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
Nc1ccc2cc3ccccc3cc2c1,-5.17,YCSBALJAGZKWFF-UHFFFAOYSA-N
Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,YAPQBXQYLJRXSA-UHFFFAOYSA-N
c1ccc2cnccc2c1,-1.45,AWJUIBRHMBBTKR-UHFFFAOYSA-N
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,NXQDBZGWYSEGFL-UHFFFAOYSA-N
CCCCCCc1ccccc1,-5.21,LTEQMZWBSYACLV-UHFFFAOYSA-N
Clc1ccccc1-c1ccccc1,-4.54,LAXBNTIAOJWAOP-UHFFFAOYSA-N
C=C(C)CCC,-3.03,WWUVJRULCWHUSA-UHFFFAOYSA-N
CC(C)C(C)C(C)C,-4.8,RLPGDEORIPLBNF-UHFFFAOYSA-N
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,CEOCDNVZRAIOQZ-UHFFFAOYSA-N
O=[N+]([O-])c1cccc(O)c1,-1.01,RTZZCYNQPHTPPL-UHFFFAOYSA-N
C=CCCCCCCCC,-5.51,AFFLGGQVNFXPEV-UHFFFAOYSA-N
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,URAYPUMNDPQOKB-UHFFFAOYSA-N
CCCCc1c(C)nc(N(C)C)nc1O,-2.24,CJHXCRMKMMBYJQ-UHFFFAOYSA-N
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337,QQODLKZGRKWIFG-UHFFFAOYSA-N
c1ccncc1,0.76,JUJWROOIHBZHMG-UHFFFAOYSA-N
CCCCCCCBr,-4.43,LSXKDWGTSHCFPP-UHFFFAOYSA-N
Cc1ccncc1C,0.36,NURQLCJSMXZBPC-UHFFFAOYSA-N
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,AAXVEMMRQDVLJB-UHFFFAOYSA-N
CCSCc1ccccc1OC(=O)NC,-2.09,HEZNVIYQEUHLNI-UHFFFAOYSA-N
CCOC(=O)CC(=O)OCC,-0.82,IYXGSMUGOJNHAZ-UHFFFAOYSA-N
C=C(C)C1CC=C(C)CC1,-4.26,XMGQYMWWDOXHJM-UHFFFAOYSA-N
c1ccc2c(c1)CCC2,-3.04,PQNFLJBBNBOBRQ-UHFFFAOYSA-N
CC(C)(C)c1ccc(O)cc1,-2.41,QHPQWRBYOIRBIT-UHFFFAOYSA-N
O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,PQVZDTWRGIHYCU-UHFFFAOYSA-N
Clc1cccc(I)c1,-3.55,JMLWXCJXOYDXRN-UHFFFAOYSA-N
Brc1cccc2ccccc12,-4.35,DLKQHBOKULLWDQ-UHFFFAOYSA-N
CC=CCC,-2.54,QMMOXUPEWRXHJS-UHFFFAOYSA-N
Cc1cccc(C)n1,0.45,OISVCGZHLKNMSJ-UHFFFAOYSA-N
ClC=C(Cl)Cl,-1.96,XSTXAVWGXDQKEL-UHFFFAOYSA-N
Nc1cccc2ccccc12,-1.92,RUFPHBVGCFYCNW-UHFFFAOYSA-N
Cc1cccc(C)c1,-2.82,IVSZLXZYQVIEFR-UHFFFAOYSA-N
Oc1ncc2nccnc2n1,-1.947,VWXIHLCLIOQWRA-UHFFFAOYSA-N
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,VIROVYVQCGLCII-UHFFFAOYSA-N
CCC(C)=O,0.52,ZWEHNKRNPOVVGH-UHFFFAOYSA-N
O=c1[nH]cc(F)c(=O)[nH]1,-1.077,GHASVSINZRGABV-UHFFFAOYSA-N
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,HDZZVAMISRMYHH-UHFFFAOYSA-N
Oc1cccc(O)c1,0.81,GHMLBKRAJCXXBS-UHFFFAOYSA-N
CCCCCCO,-1.24,ZSIAUFGUXNUGDI-UHFFFAOYSA-N
CCCCCCl,-2.73,SQCZQTSHSZLZIQ-UHFFFAOYSA-N
CCCOC(C)=O,-0.72,YKYONYBAUNKHLG-UHFFFAOYSA-N
Oc1ccc2c(c1)CCCC2,-1.99,UMKXSOXZAXIOPJ-UHFFFAOYSA-N
NC(=O)CCl,-0.02,VXIVSQZSERGHQP-UHFFFAOYSA-N
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,LFVLUOAHQIVABZ-UHFFFAOYSA-N
Cc1ccc(Cl)cc1,-3.08,NPDACUSDTOMAMK-UHFFFAOYSA-N
CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,FOXFZRUHNHCZPX-UHFFFAOYSA-N
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,FSNFYCPCXFQJSI-UHFFFAOYSA-N
CCCCCC=O,-1.3,JARKCYVAAOWBJS-UHFFFAOYSA-N
CCCCOC(=O)c1ccc(N)cc1,-3.082,IUWVALYLNVXWKX-UHFFFAOYSA-N
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,MUKSMBAVCDPKRC-UHFFFAOYSA-N
CC(C)=CCCC(C)=CCO,-2.46,GLZPCOQZEFWAFX-UHFFFAOYSA-N
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,UFNIBRDIUNVOMX-UHFFFAOYSA-N
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,IDZYLIZKJFAXAS-UHFFFAOYSA-N
CC[N+](=O)[O-],-0.22,MCSAJNNLRCFZED-UHFFFAOYSA-N
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,PTFJIKYUEPWBMS-UHFFFAOYSA-N
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,GBDZXPJXOMHESU-UHFFFAOYSA-N
CCCC(C)(COC(N)=O)COC(N)=O,-1.807,NPPQSCRMBWNHMW-UHFFFAOYSA-N
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,ORNBQBCIOKFOEO-UHFFFAOYSA-N
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,YPHMISFOHDHNIV-UHFFFAOYSA-N
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,FFGKFDRZZAJYCH-UHFFFAOYSA-N
CC1=CC(=O)CC(C)(C)C1,-1.06,HJOVHMDZYOCNQW-UHFFFAOYSA-N
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,ZRIHAIZYIMGOAB-UHFFFAOYSA-N
CCCCC(=O)CCCC,-2.58,WSGCRAOTEDLMFQ-UHFFFAOYSA-N
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,JMBQKKAJIKAWKF-UHFFFAOYSA-N
CCC(C)CC,-3.68,PFEOZHBOMNWTJB-UHFFFAOYSA-N
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,YREQHYQNNWYQCJ-UHFFFAOYSA-N
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,JEYCTXHKTXCGPB-UHFFFAOYSA-N
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752,ANIAQSUBRGXWLS-UHFFFAOYSA-N
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,CHNXZKVNWQUJIB-UHFFFAOYSA-N
c1ccnnc1,1.1,PBMFSQRYOILNGV-UHFFFAOYSA-N
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,QZYNWJQFTJXIRN-UHFFFAOYSA-N
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,CPMZWWWXIWHTMU-UHFFFAOYSA-N
Nc1ccccc1O,-0.72,CDAWCLOXVUBKRW-UHFFFAOYSA-N
CCCCCCCCC(=O)OCC,-3.8,BYEVBITUADOIGY-UHFFFAOYSA-N
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,ZQEIXNIJLIKNTD-UHFFFAOYSA-N
CNC(=O)Oc1ccccc1OC(C)C,-2.05,ISRUGXGCCGIOQO-UHFFFAOYSA-N
CCC(C)Cl,-1.96,BSPCSKHALVHRSR-UHFFFAOYSA-N
Oc1ccc2ccccc2c1,-2.28,JWAZRIHNYRIHIV-UHFFFAOYSA-N
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696,CHNUNORXWHYHNE-UHFFFAOYSA-N
C#CCCCC,-2.36,CGHIBGNXEGJPQZ-UHFFFAOYSA-N
C#CCCCCCCC,-4.24,OSSQSXOTMIGBCF-UHFFFAOYSA-N
Cc1ccccc1Cl,-3.52,IBSQPLPBRSHTTG-UHFFFAOYSA-N
CC(C)OC(C)C,-1.1,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,MQJKPEGWNLWLTK-UHFFFAOYSA-N
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,ATROHALUCMTWTB-UHFFFAOYSA-N
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,BZNDWPRGXNILMS-UHFFFAOYSA-N
O=c1[nH]cnc2nc[nH]c12,-2.296,FDGQSTZJBFJUBT-UHFFFAOYSA-N
Oc1ccc2ncccc2c1,-2.16,OVYWMEWYEJLIER-UHFFFAOYSA-N
Fc1ccccc1,-1.8,PYLWMHQQBFSUBP-UHFFFAOYSA-N
CCOC(C)=O,-0.04,XEKOWRVHYACXOJ-UHFFFAOYSA-N
CCCC(C)(C)C,-4.36,CXOWYJMDMMMMJO-UHFFFAOYSA-N
Cc1cc(C)c(C)c(C)c1C,-4.0,BEZDDPMMPIDMGJ-UHFFFAOYSA-N
CC12CCC(CC1)C(C)(C)O2,-1.64,WEEGYLXZBRQIMU-UHFFFAOYSA-N
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,PYGXAGIECVVIOZ-UHFFFAOYSA-N
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,YTBRNEUEFCNVHC-UHFFFAOYSA-N
Cc1cccnc1C,0.38,HPYNZHMRTTWQTB-UHFFFAOYSA-N
C=C(C)C1CC=C(C)C(=O)C1,-2.06,ULDHMXUKGWMISQ-UHFFFAOYSA-N
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,VEDTXTNSFWUXGQ-UHFFFAOYSA-N
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,VJJPUSNTGOMMGY-UHFFFAOYSA-N
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,CSHWQDPOILHKBI-UHFFFAOYSA-N
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,RMBFBMJGBANMMK-UHFFFAOYSA-N
Brc1ccc2ccccc2c1,-4.4,APSMUYYLXZULMS-UHFFFAOYSA-N
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,RMFNNCGOSPBBAD-UHFFFAOYSA-N
COc1cnc2ncncc2n1,-1.139,AWIJPALBOQNRBS-UHFFFAOYSA-N
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,NQDJXKOVJZTUJA-UHFFFAOYSA-N
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,XRHGWAGWAHHFLF-UHFFFAOYSA-N
